scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG8,1100001,1150000,1123821,3168,1560,51.0237,6.3863,0.7775,0.1423,0.1371
LG8,1150001,1200000,1172087,3203,1898,46.6487,20.9363,0.3804,0.1115,0.0952
LG8,1200001,1250000,1222176,2926,1677,46.6412,41.9412,0.0531,0.0277,0.0207
LG8,1250001,1300000,1271880,2783,1493,66.0662,42.6663,0.2152,0.1143,0.0982
LG8,1300001,1350000,1322762,2592,1547,39.3225,33.3725,0.0818,0.0229,0.021
LG8,1350001,1400000,1374695,2812,1515,6.0587,3.8838,0.2188,0.0071,0.0066
LG8,1400001,1450000,1424497,2510,1198,2.9375,4.8875,-0.2492,-0.0086,-0.0079
LG8,1450001,1500000,1474506,2564,1336,5.1675,3.48,0.1951,0.0078,0.0073
LG8,1500001,1550000,1525446,2862,1475,6.8963,8.0463,-0.077,-0.0049,-0.0044
LG8,1550001,1600000,1574875,2731,1391,6.4763,10.2137,-0.2239,-0.0165,-0.0145
LG8,1600001,1650000,1628957,2465,1373,12.435,8.885,0.1665,0.0176,0.0143
LG8,1650001,1700000,1675059,3072,1545,12.7475,9.36,0.1532,0.0129,0.0115
LG8,1700001,1750000,1720729,3055,1380,8.755,7.08,0.1058,0.0082,0.0075
LG8,1750001,1800000,1775519,2683,1319,3.805,5.8425,-0.2112,-0.0119,-0.0108
LG8,1800001,1850000,1823947,3110,1560,9.925,9.6375,0.0147,0.0011,0.001
LG8,1850001,1900000,1874666,1716,854,3.935,17.5725,-0.6341,-0.1015,-0.0792
LG8,1900001,1950000,1925231,2909,1605,8.925,3.6,0.4251,0.018,0.0163
LG8,1950001,2000000,1974828,2628,1468,8.5025,11.34,-0.143,-0.0139,-0.0113
LG8,2000001,2050000,2025070,2942,1536,17.1138,15.6137,0.0458,0.0056,0.0048
LG8,2050001,2100000,2074620,2567,1402,5.335,5.91,-0.0511,-0.0037,-0.003
LG8,2100001,2150000,2125426,2415,1313,4.4238,4.2362,0.0217,0.0011,0.0009
